School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
SUNSET LANE ELEMENTARY,PUBLIC,ORANGE,FULLERTON,Y,Yes,149,0,0,No Opt-Outs,99,100,100,100,100
VALENCIA PARK ELEMENTARY,PUBLIC,ORANGE,FULLERTON,Y,Yes,81,0,0,No Opt-Outs,99,99,99,99,99
WOODCREST ELEMENTARY,PUBLIC,ORANGE,FULLERTON,Y,Yes,70,0,0,No Opt-Outs,93,94,93,100,100
ETHAN B. ALLEN ELEMENTARY,PUBLIC,ORANGE,FOUNTAIN VALLEY,Y,Yes,52,0,0,No Opt-Outs,98,98,98,100,100
MAMIE L. NORTHCUTT ELEMENTARY,PUBLIC,ORANGE,FOUNTAIN VALLEY,Y,No,77,0,0,No Opt-Outs,88,91,88,99,90
A. J. COOK ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,55,0,0,No Opt-Outs,98,100,100,100,98
AGNES WARE STANLEY ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,59,0,0,No Opt-Outs,98,98,98,97,98
BROOKHURST ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,70,0,0,No Opt-Outs,100,100,100,100,100
BRYANT ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,98,0,0,No Opt-Outs,100,100,100,100,100
C. C. VIOLETTE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,72,0,0,No Opt-Outs,100,100,100,100,100
CLINTON-MENDENHALL ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,107,0,0,No Opt-Outs,100,100,100,100,100
DWIGHT D. EISENHOWER ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,No,113,0,0,No Opt-Outs,81,80,76,89,90
EARL WARREN ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,76,0,0,No Opt-Outs,99,99,100,99,100
ENDERS ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,78,5,6,3,94,94,94,92,94
ERNEST O. LAWRENCE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,No,70,1,1,Up from None,86,86,86,96,97
ETHEL M. EVANS ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,84,0,0,No Opt-Outs,99,100,99,100,100
EXCELSIOR ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,65,1,2,Up from None,98,98,98,98,98
FAYLANE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,80,0,0,No Opt-Outs,99,98,99,100,99
GARDEN PARK ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,No,43,1,2,Up from None,93,93,93,93,98
GENEVIEVE M. CROSBY ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,68,0,0,No Opt-Outs,100,100,100,100,97
GILBERT ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,58,1,2,Up from None,95,95,95,98,97
JOHN MURDY ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,63,0,0,No Opt-Outs,94,95,98,95,100
LINTON T. SIMMONS ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,66,0,0,No Opt-Outs,100,100,100,100,100
LOUIS G. ZEYEN ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,54,0,0,No Opt-Outs,98,98,98,98,100
LOYAL BARKER ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,58,3,5,Up from None,93,93,93,95,95
MERTON E. HILL ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,35,0,0,No Opt-Outs,94,97,100,97,100
MITCHELL ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,81,0,0,No Opt-Outs,98,98,99,100,100
MORNINGSIDE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,73,0,0,No Opt-Outs,99,96,99,100,100
OCIA A. PETERS ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,130,0,0,No Opt-Outs,100,100,100,100,100
PARKVIEW ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,54,0,0,No Opt-Outs,100,100,100,100,100
PATTON ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,142,4,3,-1,96,94,94,96,96
RIVERDALE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,72,0,0,No Opt-Outs,97,97,97,97,97
STANFORD ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,82,1,1,Up from None,95,95,94,99,99
SUNNYSIDE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,No,77,1,1,Up from None,91,92,88,96,99
THOMAS PAINE ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,78,2,3,Up from None,96,97,96,96,97
WAKEHAM ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,50,0,0,No Opt-Outs,96,96,96,100,96
WOODBURY ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,89,0,0,Down to None,99,99,100,99,100
EDWARD RUSSELL ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,112,0,0,No Opt-Outs,98,98,100,100,100
HERITAGE ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,79,0,0,No Opt-Outs,100,100,100,100,100
NEWHOPE ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,83,1,1,Up from None,99,99,99,99,99
R. F. HAZARD ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,80,0,0,No Opt-Outs,100,100,100,99,100
ROSITA ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,97,0,0,No Opt-Outs,100,100,99,100,100
JOHN MARSHALL ELEMENTARY,PUBLIC,ORANGE,WESTMINSTER,Y,Yes,49,1,2,Up from None,98,98,98,98,98
LEO CARRILLO ELEMENTARY,PUBLIC,ORANGE,WESTMINSTER,Y,Yes,92,0,0,No Opt-Outs,98,100,98,100,100
POST ELEMENTARY,PUBLIC,ORANGE,WESTMINSTER,Y,No,114,0,0,No Opt-Outs,88,93,90,95,96
SUSAN B. ANTHONY ELEMENTARY,PUBLIC,ORANGE,WESTMINSTER,Y,Yes,54,0,0,No Opt-Outs,96,96,96,98,100
AGNES L. SMITH ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,127,7,6,Up from None,90,88,87,87,90
HUNTINGTON SEACLIFF ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,90,10,11,8,89,89,89,89,89
JOHN H. EADER ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,77,4,5,1,92,92,94,91,90
JOHN R. PETERSON ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,83,5,6,5,84,87,87,90,90
JOSEPH R. PERRY ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,63,2,3,Up from None,97,86,84,95,95
RALPH E. HAWES ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,86,2,2,Up from None,98,98,98,97,98
S. A. MOFFETT ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,69,7,10,0,90,87,84,90,90
ALDERWOOD ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,89,3,3,2,96,96,96,94,96
BONITA CANYON ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,52,3,6,Up from None,94,94,94,94,94
BRYWOOD ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,67,2,3,Up from None,82,81,93,90,96
CANYON VIEW ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,68,2,3,-1,84,88,85,96,96
COLLEGE PARK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,94,5,5,Up from None,95,95,95,95,95
CULVERDALE ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,120,3,3,1,85,88,83,90,94
CYPRESS VILLAGE ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,157,8,5,No Data,88,90,87,92,94
DEERFIELD ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,115,2,2,Up from None,88,92,89,94,97
EASTSHORE ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,85,0,0,Down to None,100,100,100,98,100
GREENTREE ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,52,1,2,Up from None,71,75,71,90,92
MEADOW PARK,PUBLIC,ORANGE,IRVINE,Y,No,79,4,5,4,89,86,87,92,94
NORTHWOOD ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,66,0,0,Down to None,94,97,95,98,98
OAK CREEK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,112,0,0,Down to None,100,100,100,100,100
PLAZA VISTA,PUBLIC,ORANGE,IRVINE,Y,No,116,5,4,Up from None,91,90,93,95,96
PORTOLA SPRINGS ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,113,0,0,No Data,85,91,92,97,97
SANTIAGO HILLS ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,No,80,1,1,-2,98,94,94,96,99
SPRINGBROOK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,128,0,0,No Opt-Outs,99,99,99,99,99
STONE CREEK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,62,4,6,3,92,92,92,92,92
STONEGATE ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,124,1,1,-8,94,96,93,98,98
TURTLE ROCK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,89,5,6,3,94,94,94,94,94
UNIVERSITY PARK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,85,3,4,Up from None,95,96,96,94,96
VISTA VERDE,PUBLIC,ORANGE,IRVINE,Y,Yes,86,2,2,-2,98,97,97,98,98
WESTPARK ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,149,12,8,2,92,92,92,92,92
WOODBURY ELEMENTARY,PUBLIC,ORANGE,IRVINE,Y,Yes,170,5,3,Up from None,95,94,95,96,97
ARBOLITA ELEMENTARY,PUBLIC,ORANGE,LA HABRA,Y,Yes,153,0,0,Down to None,99,99,99,99,100
EL CERRITO ELEMENTARY,PUBLIC,ORANGE,LA HABRA,Y,Yes,139,1,1,0,96,96,99,99,99
LADERA PALMA ELEMENTARY,PUBLIC,ORANGE,LA HABRA,Y,Yes,153,2,1,Up from None,97,98,97,99,99
LAS LOMAS ELEMENTARY,PUBLIC,ORANGE,LA HABRA,Y,Yes,167,0,0,Down to None,96,98,98,99,99
EL MORRO ELEMENTARY,PUBLIC,ORANGE,LAGUNA BEACH,Y,No,67,3,4,-3,72,78,76,88,88
TOP OF THE WORLD ELEMENTARY,PUBLIC,ORANGE,LAGUNA BEACH,Y,Yes,82,0,0,Down to None,96,98,96,94,98
FRANCIS HOPKINSON ELEMENTARY,PUBLIC,ORANGE,LOS ALAMITOS,Y,Yes,133,5,4,Up from None,94,95,95,95,96
JACK L. WEAVER ELEMENTARY,PUBLIC,ORANGE,LOS ALAMITOS,Y,Yes,129,4,3,Up from None,97,97,97,97,97
LOS ALAMITOS ELEMENTARY,PUBLIC,ORANGE,LOS ALAMITOS,Y,Yes,129,4,3,2,95,96,96,95,96
RICHARD HENRY LEE ELEMENTARY,PUBLIC,ORANGE,LOS ALAMITOS,Y,Yes,114,7,6,5,94,94,94,94,94
ROSSMOOR ELEMENTARY,PUBLIC,ORANGE,LOS ALAMITOS,Y,Yes,117,3,3,-1,97,97,97,97,97
J. H. MCGAUGH ELEMENTARY,PUBLIC,ORANGE,SEAL BEACH,Y,Yes,177,10,6,-1,94,94,94,94,94
ALBERT SCHWEITZER ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,126,1,1,Up from None,99,99,99,99,99
BADEN-POWELL ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,No,131,0,0,No Opt-Outs,80,82,80,94,93
ESTHER L. WALTER ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,100,0,0,No Opt-Outs,100,100,100,100,100
JONAS E. SALK ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,142,2,1,Up from None,97,97,98,98,99
JULIETTE LOW ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,104,0,0,No Opt-Outs,99,99,97,100,100
MATTIE LOU MAXWELL ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,138,2,1,Up from None,95,95,96,97,97
PETER MARSHALL ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,104,3,3,2,97,97,97,97,97
WALT DISNEY ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,78,0,0,No Opt-Outs,100,100,100,100,100
ROBERT M. PYLES ELEMENTARY,PUBLIC,ORANGE,STANTON,Y,Yes,128,0,0,No Opt-Outs,92,94,92,96,99
ABRAHAM LINCOLN ELEMENTARY,PUBLIC,ORANGE,CORONA DEL MAR,Y,Yes,59,6,10,3,90,90,90,90,90
HARBOR VIEW ELEMENTARY,PUBLIC,ORANGE,CORONA DEL MAR,Y,No,66,6,9,-5,82,77,76,85,88
ADAMS ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,69,3,4,3,77,81,75,96,94
CALIFORNIA ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,64,7,11,9,89,89,89,86,89
COLLEGE PARK ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,Yes,96,4,4,2,96,96,96,96,96
EVERETT A. REA ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,Yes,73,0,0,No Data,92,93,89,99,100
KILLYBROOKE ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,Yes,65,1,2,Up from None,95,94,95,95,97
MAUDE B. DAVIS ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,73,4,5,No Data,90,88,89,92,93
PAULARINO ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,78,6,8,4,79,81,76,92,92
POMONA ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,Yes,78,0,0,No Opt-Outs,94,94,91,100,100
SONORA ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,79,2,3,1,90,92,90,96,97
VICTORIA ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,53,4,8,5,89,91,89,89,92
WHITTIER ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,123,0,0,No Opt-Outs,90,90,87,98,99
WILSON ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,83,0,0,No Opt-Outs,90,89,90,99,100
WOODLAND ELEMENTARY,PUBLIC,ORANGE,COSTA MESA,Y,No,185,6,3,-1,91,90,90,91,93
EASTBLUFF ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,No,64,5,8,5,80,80,75,81,89
MARINERS ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,No,98,10,10,9,86,88,84,90,89
NEWPORT COAST ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,Yes,71,4,6,2,94,94,93,93,94
NEWPORT ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,No,64,7,11,8,81,84,84,88,89
NEWPORT HEIGHTS ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,No,102,4,4,1,76,78,75,85,78
ROY O. ANDERSEN ELEMENTARY,PUBLIC,ORANGE,NEWPORT BEACH,Y,No,57,2,4,2,77,86,84,86,95
CIRCLE VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,83,6,7,5,89,89,89,93,93
COLLEGE VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,No,95,3,3,1,88,89,92,94,97
GOLDEN VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,96,6,6,Up from None,93,93,92,94,94
HARBOUR VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,149,0,0,Down to None,97,97,97,97,97
HOPE VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,109,3,3,0,97,97,95,97,97
LAKE VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,47,0,0,Down to None,100,100,100,100,100
OAK VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,160,0,0,No Opt-Outs,91,93,93,100,100
SUN VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,42,2,5,2,95,95,95,95,95
VILLAGE VIEW ELEMENTARY,PUBLIC,ORANGE,HUNTINGTON BEACH,Y,Yes,103,8,8,7,90,92,91,92,92
STAR VIEW ELEMENTARY,PUBLIC,ORANGE,MIDWAY CITY,Y,Yes,128,2,2,Up from None,98,98,98,98,98
WESTMONT ELEMENTARY,PUBLIC,ORANGE,WESTMINSTER,Y,Yes,79,1,1,Up from None,99,99,99,99,99
ORANGE COUNTY SPECIAL EDUCATION,PUBLIC,ORANGE,COSTA MESA,Y,No,24,1,4,No Data,83,88,79,92,96
OCCS - CHEP PCHS,PUBLIC,ORANGE,CYPRESS,Y,No,110,26,24,18,71,70,65,75,75
ANAHEIM HILLS ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,61,4,7,5,92,92,92,92,92
CANYON RIM ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,96,4,4,Up from None,91,92,92,91,92
CRESCENT ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,79,0,0,Down to None,96,96,96,97,97
IMPERIAL ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,No,57,0,0,No Opt-Outs,84,84,96,98,95
NOHL CANYON ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,50,1,2,Up from None,98,98,94,94,98
RUNNING SPRINGS ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,No,91,5,5,Up from None,82,82,82,92,92
LAMPSON ELEMENTARY,PUBLIC,ORANGE,GARDEN GROVE,Y,Yes,199,1,1,Up from None,95,95,96,99,100
CALIFORNIA ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,No,107,1,1,Up from None,86,91,86,96,99
CAMBRIDGE ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,89,0,0,Down to None,100,100,100,100,100
CHAPMAN HILLS ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,No,82,1,1,Up from None,79,82,79,93,95
ESPLANADE ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,52,0,0,No Opt-Outs,90,100,98,100,100
FLETCHER ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,95,3,3,1,97,97,96,97,97
HANDY ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,79,1,1,0,96,95,96,96,97
JORDAN ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,85,0,0,Down to None,100,100,100,100,100
LA VETA ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,101,2,2,Up from None,95,95,98,96,98
LINDA VISTA ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,62,1,2,Up from None,98,98,98,98,98
MCPHERSON MAGNET,PUBLIC,ORANGE,ORANGE,Y,Yes,88,3,3,1,94,94,94,94,95
OLIVE ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,56,4,7,Up from None,89,91,93,93,93
PALMYRA ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,No,68,0,0,No Opt-Outs,88,93,90,96,99
PROSPECT ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,72,0,0,No Opt-Outs,97,99,97,99,99
SYCAMORE ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,No,64,0,0,No Opt-Outs,84,86,86,94,94
TAFT ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,Yes,121,0,0,No Opt-Outs,96,96,96,96,98
WEST ORANGE ELEMENTARY,PUBLIC,ORANGE,ORANGE,Y,No,100,0,0,No Opt-Outs,87,88,87,99,100
FAIRHAVEN ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,74,0,0,No Opt-Outs,99,99,100,99,100
PANORAMA ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,No,60,1,2,Up from None,95,93,92,93,95
SERRANO ELEMENTARY,PUBLIC,ORANGE,VILLA PARK,Y,No,63,0,0,No Opt-Outs,76,78,78,92,95
VILLA PARK ELEMENTARY,PUBLIC,ORANGE,VILLA PARK,Y,No,71,2,3,2,94,82,82,94,97
GLENVIEW ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,43,1,2,Up from None,95,98,98,98,98
RIO VISTA ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,172,1,1,0,99,99,98,99,99
WOODSBORO ELEMENTARY,PUBLIC,ORANGE,ANAHEIM,Y,Yes,45,0,0,Down to None,100,100,100,100,100
TOPAZ ELEMENTARY,PUBLIC,ORANGE,FULLERTON,Y,Yes,117,0,0,No Opt-Outs,99,100,100,98,100
BROOKHAVEN ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,No,109,3,3,Up from None,91,92,91,96,97
CHARLES WAGNER ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,54,0,0,Down to None,93,94,93,94,94
GOLDEN ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,65,5,8,7,92,92,92,92,92
JOHN O. TYNES ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,133,1,1,Up from None,97,96,98,99,99
MELROSE ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,136,0,0,No Opt-Outs,99,98,99,100,100
MORSE AVENUE ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,64,0,0,No Opt-Outs,100,100,100,100,100
RUBY DRIVE ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,44,1,2,Up from None,98,98,98,98,98
SIERRA VISTA ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,59,2,3,Up from None,90,93,93,93,93
VAN BUREN ELEMENTARY,PUBLIC,ORANGE,PLACENTIA,Y,Yes,144,7,5,4,90,92,91,94,94
BRYANT RANCH ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,Yes,112,5,4,-1,93,94,93,95,96
FAIRMONT ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,Yes,138,5,4,0,93,94,94,96,96
GLENKNOLL ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,Yes,73,5,7,Up from None,93,93,93,93,93
LAKEVIEW ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,Yes,75,2,3,Up from None,97,97,97,97,97
LINDA VISTA ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,No,47,8,17,15,83,83,83,83,83
MABEL M. PAINE ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,No,127,9,7,3,87,89,87,92,92
ROSE DRIVE ELEMENTARY,PUBLIC,ORANGE,YORBA LINDA,Y,No,70,2,3,1,83,84,83,93,97
TRAVIS RANCH,PUBLIC,ORANGE,YORBA LINDA,Y,Yes,117,2,2,-1,95,96,95,97,98
FOOTHILL RANCH ELEMENTARY,PUBLIC,ORANGE,FOOTHILL RANCH,Y,No,182,10,5,1,55,74,71,87,90
LOMARENA ELEMENTARY,PUBLIC,ORANGE,LAGUNA HILLS,Y,No,150,8,5,4,81,81,83,94,93
SAN JOAQUIN ELEMENTARY,PUBLIC,ORANGE,LAGUNA HILLS,Y,Yes,45,0,0,No Opt-Outs,96,98,98,98,98
VALENCIA ELEMENTARY,PUBLIC,ORANGE,LAGUNA HILLS,Y,No,63,8,13,3,83,84,84,84,87
LA MADERA ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,52,2,4,Up from None,90,92,92,90,94
LAKE FOREST ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,99,0,0,Down to None,93,93,88,96,100
OLIVEWOOD ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,110,0,0,No Opt-Outs,80,84,84,97,97
RALPH A. GATES ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,160,2,1,0,91,92,92,96,99
RANCHO CANADA ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,83,1,1,-2,87,88,89,98,98
SANTIAGO ELEMENTARY,PUBLIC,ORANGE,LAKE FOREST,Y,No,54,0,0,No Opt-Outs,85,83,85,91,93
CORDILLERA ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,Yes,94,1,1,Up from None,97,98,97,98,98
DE PORTOLA ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,Yes,66,0,0,No Opt-Outs,94,94,94,94,94
DEL CERRO ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,No,57,4,7,5,93,88,89,88,93
DEL LAGO ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,No,88,4,5,Up from None,93,92,90,93,95
GLEN YERMO ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,No,124,3,2,-3,77,85,81,94,96
LINDA VISTA ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,Yes,47,0,0,Down to None,100,100,100,100,100
MONTEVIDEO ELEMENTARY,PUBLIC,ORANGE,MISSION VIEJO,Y,Yes,56,0,0,Down to None,93,93,93,93,93
CIELO VISTA ELEMENTARY,PUBLIC,ORANGE,RANCHO SANTA MARGARITA,Y,No,99,1,1,-9,75,81,81,85,87
MELINDA HEIGHTS ELEMENTARY,PUBLIC,ORANGE,RANCHO SANTA MARGARITA,Y,Yes,130,4,3,2,95,96,96,96,96
TRABUCO MESA ELEMENTARY,PUBLIC,ORANGE,RANCHO SANTA MARGARITA,Y,No,63,4,6,-5,81,81,79,90,78
PORTOLA HILLS ELEMENTARY,PUBLIC,ORANGE,TRABUCO CANYON,Y,No,94,7,7,5,81,82,83,89,93
ROBINSON ELEMENTARY,PUBLIC,ORANGE,TRABUCO CANYON,Y,Yes,78,2,3,0,96,96,97,97,96
TRABUCO ELEMENTARY,PUBLIC,ORANGE,TRABUCO CANYON,Y,No,10,1,10,4,60,70,80,70,80
ABRAHAM LINCOLN ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,151,0,0,No Opt-Outs,98,99,96,100,100
ADAMS ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,92,0,0,No Opt-Outs,99,99,99,99,100
ANDREW JACKSON ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,147,0,0,No Opt-Outs,95,97,95,100,100
CARL HARVEY ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,92,0,0,No Opt-Outs,100,100,100,100,100
DIAMOND ELEMENTARY,PUBLIC,ORANGE,SANTA ANA,Y,Yes,104,0,0,No Opt-Outs,97,98,97,100,100
