School Name,School Type,County,City,Reported,Herd Immunity,Enrollment,PBE #,PBE %,Percentage Point Change 2007-14,DTP %,Polio %,MMR %,HEPB %,VAR %
RANCHO LAS POSITAS ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,102,2,2,Up from None,96,96,97,97,97
SUNSET ELEMENTARY,PUBLIC,ALAMEDA,LIVERMORE,Y,Yes,111,2,2,0,94,95,96,98,98
VINEYARD ALTERNATIVE,PUBLIC,ALAMEDA,LIVERMORE,N,Not Known, ,,,No Data,,,,,
HILLVIEW CREST ELEMENTARY,PUBLIC,ALAMEDA,HAYWARD,Y,Yes,118,0,0,No Opt-Outs,95,98,96,98,100
ALVARADO ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,151,0,0,Down to None,98,99,97,100,99
DECOTO SCHOOL FOR INDEPENDENT STUDY,PUBLIC,ALAMEDA,UNION CITY,N,Not Known, ,,,No Data,,,,,
DELAINE EASTIN ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,142,0,0,No Opt-Outs,99,99,96,100,100
GUY JR. EMANUELE ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,114,1,1,Up from None,99,99,97,99,99
PIONEER ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,167,2,1,0,98,98,96,98,99
SEARLES ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,141,0,0,No Opt-Outs,99,99,96,100,99
TOM KITAYAMA ELEMENTARY,PUBLIC,ALAMEDA,UNION CITY,Y,Yes,172,1,1,0,99,99,97,98,99
AUGUST SCHILLING ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,No,49,0,0,No Opt-Outs,98,96,92,94,100
CROSSROADS HIGH -ALTERNATIVE-,PUBLIC,ALAMEDA,NEWARK,N,Not Known, ,,,No Data,,,,,
E. L. MUSICK ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,72,0,0,No Opt-Outs,100,100,100,100,100
H. A. SNOW ELEMENTARY,PUBLIC,ALAMEDA,NEWARK,Y,Yes,46,0,0,No Opt-Outs,91,96,91,98,100
